gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cusip
001602,000208,1995-01-01,,I0028,AMGEN INC,AMGN,031162100
001690,000208,1995-01-01,,I0028,APPLE INC,AAPL,037833100
001704,000208,1995-01-01,,I0028,APPLIED MATERIALS INC,AMAT,038222105
006008,000208,1995-01-01,,I0028,INTEL CORP,INTC,458140100
008253,000208,1995-01-01,,I0028,PACCAR INC,PCAR,693718108
008402,000208,1995-01-01,,I0028,PAYCHEX INC,PAYX,704326107
012141,000208,1995-01-01,,I0028,MICROSOFT CORP,MSFT,594918104
012540,000208,1995-01-01,,I0028,ADOBE INC,ADBE,00724F101
020779,000208,1995-01-01,,I0028,CISCO SYSTEMS INC,CSCO,17275R102
024800,000208,1995-01-01,,I0028,QUALCOMM INC,QCOM,747525103
029028,000208,1995-01-01,,I0028,COSTCO WHOLESALE CORP,COST,22160K105
010420,000208,1995-01-01,2008-05-19,I0028,TELLABS INC,TLAB,879664100
012136,000208,1995-01-01,2009-07-16,I0028,SUN MICROSYSTEMS INC,JAVA.1,866810203
003062,000208,1995-01-01,2010-12-19,I0028,CINTAS CORP,CTAS,172908105
012233,000208,1995-01-01,2011-04-03,I0028,GENZYME CORP,GENZ,372917104
016721,000208,1995-01-01,2012-12-27,I0028,ELECTRONIC ARTS INC,EA,285512109
012142,000208,1995-01-01,2013-07-14,I0028,ORACLE CORP,ORCL,68389X105
014489,000208,1995-01-01,2013-10-29,I0028,DELL TECHNOLOGIES INC,DELL,24702R101
015521,000208,1995-01-01,2015-12-20,I0028,STAPLES INC,SPLS,855030102
012216,000208,1995-01-01,2016-10-18,I0028,LINEAR TECHNOLOGY CORP,LLTC,535678106
022325,000208,1995-01-01,2022-02-15,I0028,XILINX INC,XLNX,983919101
006304,000208,1995-02-27,2016-02-25,I0028,KLA CORP,KLAC,482480100
014324,000208,1995-07-19,2015-10-06,I0028,ALTERA CORP,ALTR.1,021441100
025434,000208,1996-11-25,,I0028,STARBUCKS CORP,SBUX,855244109
025338,000208,1996-12-23,2016-12-18,I0028,BED BATH & BEYOND INC,BBBYQ,075896100
012635,000208,1996-12-23,2023-06-06,I0028,FISERV INC,FI,337738108
027965,000208,1997-06-04,2013-12-29,I0028,MICROCHIP TECHNOLOGY INC,MCHP,595017104
061676,000208,1998-01-07,2020-12-18,I0028,CITRIX SYSTEMS INC,CTXS,177376100
026061,000208,1998-09-15,2009-12-21,I0028,MATCH GROUP INC,MTCH,57667L107
062634,000208,1998-09-16,2017-06-16,I0028,ALTABA INC,AABA,021346101
027928,000208,1998-12-21,,I0028,INTUIT INC,INTU,461202103
064768,000208,1998-12-21,,I0028,AMAZON.COM INC,AMZN,023135106
114524,000208,1999-10-06,,I0028,EBAY INC,EBAY,278642103
060900,000208,1999-12-20,2010-12-19,I0028,DISH NETWORK CORP,DISH,25470M109
061591,000208,1999-12-20,2016-12-18,I0028,NETAPP INC,NTAP,64110D104
066368,000208,2000-06-09,2012-12-27,I0028,VERISIGN INC,VRSN,92343E102
121718,000208,2000-09-07,2009-10-28,I0028,JUNIPER NETWORKS INC,JNPR,48203R104
066708,000208,2000-10-30,2015-11-10,I0028,BROADCOM CORP,BRCM,111320107
024468,000208,2000-12-18,,I0028,BIOGEN INC,BIIB,09062X103
064606,000208,2000-12-18,2008-05-06,I0028,BEA SYSTEMS INC,BEAS,073325102
030170,000208,2000-12-18,2012-12-27,I0028,FLEX LTD,FLEX,Y2573F102
063185,000208,2000-12-18,2021-12-20,I0028,CHECK POINT SOFTWARE TECHN,CHKP,M22465104
024856,000208,2001-10-05,,I0028,GILEAD SCIENCES INC,GILD,375558103
031122,000208,2001-12-17,2012-12-27,I0028,APOLLO EDUCATION GROUP INC,APOL,037604105
025356,000208,2001-12-24,2018-12-28,I0028,EXPRESS SCRIPTS HOLDING CO,ESRX,30219G108
015855,000208,2001-12-24,2019-12-23,I0028,GEN DIGITAL INC,GEN,668771108
009699,000208,2002-07-15,2015-08-04,I0028,SIGMA-ALDRICH CORP,SIAL,826552101
014538,000208,2002-11-07,2012-05-29,I0028,TEVA PHARMACEUTICALS,TEVA,881624209
003226,000208,2002-11-19,,I0028,COMCAST CORP,CMCSA,20030N101
025880,000208,2002-12-16,2010-12-19,I0028,PATTERSON COS INC,PDCO,703395103
014225,000208,2002-12-23,,I0028,FASTENAL CO,FAST,311900104
009248,000208,2002-12-23,2007-12-27,I0028,ROSS STORES INC,ROST,778296103
024893,000208,2002-12-23,2008-12-29,I0028,WHOLE FOODS MARKET INC,WFM,966837106
028648,000208,2002-12-23,2008-12-29,I0028,PETSMART INC,PETM,716768106
063422,000208,2002-12-23,2008-12-29,I0028,LAMAR ADVERTISING CO  -CL A,LAMR,512816109
013700,000208,2002-12-23,2013-12-29,I0028,DENTSPLY SIRONA INC,XRAY,24906P109
004494,000208,2002-12-23,2015-12-20,I0028,EXPEDITORS INTL WASH INC,EXPD,302130109
065609,000208,2002-12-23,2015-12-20,I0028,C H ROBINSON WORLDWIDE INC,CHRW,12541W209
061513,000208,2003-11-13,2008-12-29,I0028,SANDISK CORP,SNDK,80004C101
006565,000208,2003-12-22,2012-12-27,I0028,LAM RESEARCH CORP,LRCX,512807108
065986,000208,2003-12-22,2012-12-27,I0028,BLACKBERRY LTD,BB,09228F103
137310,000208,2003-12-22,2012-12-27,I0028,MARVELL TECHNOLOGY INC,MRVL,573874104
141459,000208,2003-12-22,2015-12-20,I0028,GARMIN LTD,GRMN,H2906T109
006307,000208,2004-08-19,2013-12-29,I0028,SEARS HOLDINGS CORP,SHLDQ,812350106
001878,000208,2004-12-20,,I0028,AUTODESK INC,ADSK,052769106
004439,000208,2004-12-20,2007-12-27,I0028,TELEFONAKTIEBOLAGET LM ERICS,ERIC,294821608
124442,000208,2004-12-20,2007-12-27,I0028,XM SATELLITE RADIO HLDGS INC,XMSR,983759101
030662,000208,2004-12-20,2008-12-29,I0028,SIRIUS XM HOLDINGS INC,SIRI,82968B103
153668,000208,2004-12-20,2008-12-29,I0028,VIRGIN MEDIA INC,VMED,92769L101
160549,000208,2004-12-20,2009-12-21,I0028,LIBERTY GLOBAL PLC,LBTYK,G5480U104
149318,000208,2004-12-20,2015-12-20,I0028,WYNN RESORTS LTD,WYNN,983134107
