code,year_,freq,ITEM5601,ITEM7011,ITEM7210,ITEM7220,ITEM7230,ITEM7240,ITEM7250,ITEM8101,ITEM8106,ITEM8111,ITEM8121,ITEM8136,ITEM8226,ITEM8231,ITEM8236,ITEM8306,ITEM8316,ITEM8336,ITEM8366,ITEM8371,ITEM8401,ITEM8406,ITEM8601,ITEM8611,ITEM8621,ITEM8626,ITEM8631,ITEM8636,ITEM6001,ITEM6004
29511,2007,A,AXP,67700,60239160000,11029000000,147419000000,31557000000,4012000000,,,,,,394.14271,659.47955,49.33828,,14.0571,53.1958,12.7135,37.78699,0.21406,2177533.2349,11.62791,10.52632,16.3629,3.51682,13.13186,8.22768,AMERICAN EXPRESS COMPANY,025816109
29511,2008,A,AXP,66000,21518000000,11841000000,122604000000,31920000000,2699000000,,,,,,380.82088,583.00819,56.30648,,17.60652,53.40539,8.45551,23.96521,0.26035,1857636.3636,-30.95238,14.28571,-16.83297,-2.51108,1.1503,-32.72682,AMERICAN EXPRESS COMPANY,025816109
29511,2009,A,AXP,58300,48299840000,14406000000,121109000000,26730000000,2130000000,,,,,,288.13689,379.57795,45.15106,,10.62851,54.26113,7.96857,14.12373,0.22071,2077341.3379,-33.62069,0,-1.21937,-11.66667,-16.2594,-21.08188,AMERICAN EXPRESS COMPANY,025816109
29511,2010,A,AXP,61000,51375240000,16230000000,143645000000,30242000000,4006000000,,,,,,321.33703,439.7289,49.68359,,20.14086,59.24542,13.24648,26.50641,0.21053,2354836.0656,117.53247,0,17.58181,4.63122,13.1388,90.03795,AMERICAN EXPRESS COMPANY,025816109
29511,2011,A,AXP,62500,54905880000,18794000000,150462000000,32282000000,4877000000,,,,,,258.13025,351.62818,43.92139,,22.02156,62.34124,15.10749,27.73963,0.21455,2407392,22.98507,0,5.00377,2.45902,7.58874,21.74239,AMERICAN EXPRESS COMPANY,025816109
29511,2012,A,AXP,63500,63515400000,18886000000,150682000000,33808000000,4433000000,,,,,,250.49243,332.62205,41.68978,,20.44487,60.17215,13.11228,23.40741,0.22437,2372944.8819,-5.58252,11.11111,0.14622,1.6,4.72709,-9.10396,AMERICAN EXPRESS COMPANY,025816109
29511,2013,A,AXP,62800,96536720000,19496000000,150932000000,34932000000,5312000000,,,,,,233.28375,311.82294,40.2784,79.31982,22.59247,41.84988,15.20669,27.54714,0.23144,2403375.7962,25.39512,11.25,0.16591,-1.10236,3.32466,19.82856,AMERICAN EXPRESS COMPANY,025816109
29511,2014,A,AXP,54000,95179920000,20673000000,156993000000,36004000000,5839000000,,,,,,221.91264,300.30475,39.54444,78.4744,23.70848,40.58716,16.21764,28.83696,0.22934,2907277.7778,13.8952,13.48315,4.01572,-14.01274,3.01279,9.92093,AMERICAN EXPRESS COMPANY,025816109
29511,2015,A,AXP,54800,67393950000,20673000000,158953000000,34441000000,5125000000,,,,,,199.52111,257.73715,33.5206,76.74574,25.05734,37.84443,14.88052,24.3021,0.21667,2900602.1898,-9.14023,11.88119,1.24846,1.48148,-4.34118,-12.22812,AMERICAN EXPRESS COMPANY,025816109
29511,2016,A,AXP,56400,66968320000,20501000000,156557000000,33823000000,5365000000,,,,,,152.50963,267.43086,35.01983,76.59285,20.99163,40.30394,15.86199,25.68549,0.21604,2775833.3333,11.97636,7.9646,-1.50736,2.91971,-1.79437,4.68293,AMERICAN EXPRESS COMPANY,025816109
29511,2017,A,AXP,55000,85307290000,18227000000,179512000000,35583000000,2715000000,,,,,,240.68689,339.71032,34.49296,74.57494,20.83579,36.08465,7.63005,26.91508,0.19822,3263854.5455,4.51206,9.83607,14.66239,-2.48227,5.20356,-49.39422,AMERICAN EXPRESS COMPANY,025816109
29511,2018,A,AXP,59000,80736040000,22290000000,187122000000,43281000000,6867000000,,,,,,211.34141,280.6236,33.42792,73.46642,18.72877,36.68584,15.86608,30.81346,0.2313,3171559.322,23.97278,10.44776,4.23927,7.27273,11.00539,151.81518,AMERICAN EXPRESS COMPANY,025816109
29511,2019,A,AXP,64500,100836900000,23071000000,196860000000,47020000000,6712000000,,,,,,183.0003,278.60518,32.65112,73.07316,17.91791,36.75883,14.27478,29.15798,0.23885,3052093.0233,9.08743,10.81081,5.20409,9.32203,8.63889,-2.25717,AMERICAN EXPRESS COMPANY,025816109
29511,2020,A,AXP,63700,97332550000,22984000000,188667000000,38185000000,3115000000,,,,,,135.41159,195.04873,23.76144,75.57942,11.25049,43.44114,8.15765,13.20873,0.20239,2961805.3375,-52.85174,4.87805,-4.16184,-1.24031,-18.78988,-53.59058,AMERICAN EXPRESS COMPANY,025816109
29511,2021,A,AXP,64000,124499600000,22177000000,186163000000,43663000000,8004000000,,,,,,110.43874,184.50647,21.97966,70.22651,24.48068,45.07707,18.33131,34.74057,0.23454,2908796.875,166.05217,0,-1.32721,0.47096,14.34595,156.95024,AMERICAN EXPRESS COMPANY,025816109
29511,2022,A,AXP,77300,109778250000,24711000000,224849000000,55625000000,7457000000,,,,,,137.84145,177.73866,19.53355,69.50831,17.23146,31.26292,13.40584,31.53967,0.24739,2908783.9586,-1.80701,20.93023,20.78071,20.78125,27.39619,-6.83408,AMERICAN EXPRESS COMPANY,025816109
29694,2007,A,AMGN,17500,50480280000,17869000000,34639000000,14771000000,3166000000,1.49733,2.11054,54.83475,16.11073,0.74812,51.3571,62.54967,32.2671,81.76833,35.84727,23.9388,21.43389,17.38736,0.42643,1979371.4286,13.70968,0,2.51865,-12.93532,3.52537,7.32203,AMGEN INC.,031162100
29694,2008,A,AMGN,16900,60464250000,20386000000,36443000000,15003000000,4196000000,2.37925,3.11523,62.7554,13.61934,0.7254,45.01128,49.91661,27.92306,82.77678,37.11258,25.48824,27.96774,21.99275,0.41168,2156390.5325,38.29787,0,5.208,-3.42857,1.57065,32.53316,AMGEN INC.,031162100
29694,2009,A,AMGN,17200,56287150000,22667000000,39629000000,14642000000,4605000000,4.01523,4.8882,71.00148,11.13987,0.62165,46.76843,46.76843,26.75061,83.71807,38.30761,25.89127,31.45062,21.53651,0.36948,2304011.6279,15.64103,0,8.79018,1.77515,-2.40619,13.64758,AMGEN INC.,031162100
29694,2010,A,AMGN,17400,51166800000,23944000000,43486000000,15006000000,4627000000,3.00715,3.5204,75.32535,10.09555,0.7058,45.4143,55.80521,30.72713,83.2467,37.41837,26.54272,30.83433,19.76282,0.34508,2499195.4023,6.20843,0,9.73277,1.16279,2.486,0.47774,AMGEN INC.,031162100
29694,2011,A,AMGN,17800,51085476000,19029000000,48871000000,15582000000,3683000000,4.09055,4.79545,74.8052,10.49542,0.6893,112.16564,112.60707,43.84604,83.23065,33.37184,28.78963,23.63625,16.285,0.31884,2745561.7978,-15.65762,,12.3833,2.29885,3.83846,-20.40199,AMGEN INC.,031162100
29694,2012,A,AMGN,18000,65193060000,19060000000,54298000000,17265000000,4345000000,3.2449,3.81016,77.09635,8.06819,0.81255,126.09654,139.18678,48.85815,81.39589,32.30235,27.8077,25.16652,22.47583,0.31797,3016555.5556,36.63366,56.52174,11.10475,1.1236,10.80092,17.97448,AMGEN INC.,031162100
29694,2013,A,AMGN,20000,86084768000,22096000000,66125000000,18676000000,5081000000,2.78067,3.44369,70.89195,9.85493,0.71491,134.06499,145.40188,48.58677,82.08396,33.01028,26.60634,27.20604,24.38112,0.28243,3306250,20.32301,30.55556,21.78165,11.11111,8.1726,16.93901,AMGEN INC.,031162100
29694,2014,A,AMGN,17900,121124116000,25778000000,69009000000,20063000000,5158000000,4.22032,4.95334,77.86708,7.33443,0.82245,117.21235,119.15199,44.50869,77.95943,32.73688,23.42122,25.70902,21.20435,0.29073,3855251.3967,0.85624,29.78723,4.36144,-10.5,7.42664,1.51545,AMGEN INC.,031162100
29694,2015,A,AMGN,17900,122396820000,28083000000,71576000000,21662000000,6939000000,3.96642,4.44421,81.4736,7.77559,0.82645,104.35495,112.36691,44.0874,80.48657,39.32693,22.37097,32.03305,25.46526,0.30264,3998659.2179,35.23146,29.5082,3.7198,0,7.96989,34.52889,AMGEN INC.,031162100
29694,2016,A,AMGN,19200,107932222000,29875000000,77626000000,22991000000,7722000000,3.68172,4.10657,82.77548,6.87894,0.7888,101.06444,115.80251,44.56754,81.89726,42.57318,22.01731,33.58706,26.35611,0.29618,4043020.8333,13.05511,26.58228,8.45255,7.26257,6.13517,11.28405,AMGEN INC.,031162100
29694,2017,A,AMGN,20800,125590580000,25241000000,79954000000,22849000000,1979000000,4.97949,5.48514,84.23882,6.54257,0.75784,135.45422,140.01822,44.20292,82.19178,45.25362,21.31384,8.66121,29.14826,0.28578,3843942.3077,7.32772,15,2.999,8.33333,-0.61763,-74.37192,AMGEN INC.,031162100
29694,2018,A,AMGN,21500,122564232000,12500000000,66416000000,23747000000,8394000000,2.43802,2.789,77.89888,9.51672,0.74645,236.08,271.432,51.08558,82.73045,44.54036,22.45336,35.34762,46.06435,0.35755,3089116.2791,14.83573,14.78261,-16.93224,3.36538,3.93015,324.15361,AMGEN INC.,031162100
